platform,season,team_name,owner_id
mfl,2015,Hotboxin the Blount,owner_mckinley
mfl,2015,ICP,owner_jeff
mfl,2015,It Feels Like The Very First Time,owner_alex
mfl,2015,Lady Gaga's Ass,owner_grant
mfl,2015,Marshawn's Designated Driver,owner_david
mfl,2015,Playing For Next Year,owner_joe
mfl,2015,Teddy 2 Points,owner_taylor
mfl,2015,The Tate Tank,ben_mccoy
mfl,2016,Child Please,owner_justin
mfl,2016,Classy Try-hards,owner_kyle
mfl,2016,Golden Maples,owner_chris_c
mfl,2016,Higher Primates,owner_james
mfl,2016,Hotboxin the Blount,owner_mckinley
mfl,2016,ICP,owner_jeff
mfl,2016,It Feels Like The Very First Time,owner_alex
mfl,2016,LGA,owner_grant
mfl,2016,Marshawn's Designated Driver,owner_david
mfl,2016,Playing For Next Year,owner_joe
mfl,2016,Teddy 2 Points,owner_taylor
mfl,2016,The Tate Tank,ben_mccoy
mfl,2017,Chaos' Leftenant,owner_cliff
mfl,2017,Classy Try-hards,owner_kyle
mfl,2017,Destiny's Second Child,owner_john
mfl,2017,Golden Maples,owner_chris_c
mfl,2017,Higher Primates,owner_james
mfl,2017,ICP,owner_jeff
mfl,2017,LGA,owner_grant
mfl,2017,Marshawn's Designated Driver,owner_david
mfl,2017,Playing For Next Year,owner_joe
mfl,2017,Teddy 2 Points,owner_taylor
mfl,2017,Tend to the Sheath,owner_chris_d
mfl,2017,What Could Have Ben,ben_mccoy
mfl,2018,Chaos' Leftenant,owner_cliff
mfl,2018,Classy Try-hards,owner_kyle
mfl,2018,Destiny's Second Child,owner_john
mfl,2018,Golden Maples,owner_chris_c
mfl,2018,Higher Primates,owner_james
mfl,2018,ICP,owner_jeff
mfl,2018,LGA,owner_grant
mfl,2018,Marshawn's Designated Driver,owner_david
mfl,2018,Playing For Next Year,owner_joe
mfl,2018,Teddy 2 Points,owner_taylor
mfl,2018,Tend to the Sheath,owner_chris_d
mfl,2018,What Could Have Ben,ben_mccoy
mfl,2019,Chaos' Leftenant,owner_cliff
mfl,2019,Classy Try-hards,owner_kyle
mfl,2019,Destiny's Second Child,owner_john
mfl,2019,Generic Rebrand,owner_jeff
mfl,2019,Golden Maples,owner_chris_c
mfl,2019,Higher Primates,owner_james
mfl,2019,ICP,owner_jeff
mfl,2019,LGA,owner_grant
mfl,2019,Marshawn's Designated Driver,owner_david
mfl,2019,Playing For Next Year,owner_joe
mfl,2019,Teddy 2 Points,owner_taylor
mfl,2019,Tend to the Sheath,owner_chris_d
mfl,2019,What Could Have Ben,ben_mccoy
sleeper,2025,whateverdever,owner_chris_d
sleeper,2025,Chaos Leftenant,owner_cliff
sleeper,2025,Generic Rebrand,owner_jeff
sleeper,2025,Classy Try-hards,owner_kyle
sleeper,2025,Marshawn's DD,owner_david
sleeper,2025,Destiny’s Second Child,owner_john
sleeper,2025,Snipe Hunter,owner_james
sleeper,2025,What Could Have Ben,ben_mccoy
sleeper,2025,Average Joe’s Gym ,owner_ryan
sleeper,2025,JoeyPleasure,owner_joe
sleeper,2025,ManaTDs,owner_grant
sleeper,2025,GoldenMaples,owner_chris_c
